selected_text,sentiment
lol same here wish there was way to microsize everything lol,0
fail,1
glad,2
about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home,0
im allergic to cats my tonsils get swollen and they hurt what do dooo,1
tomorrow will be tough,1
miss,1
glad,2
thanks,2
hope,2
well,2
nah jkin he hot so bored now,0
ahhh sqeaky clean and fresh even though wearing dirty clothes love two and half men it amazing,2
yes have read them many times,0
cuz you play grown up on twitter,0
am living in ignorance,1
nope it is telling you that you want cameo creams,0
awwww we re gonna miss you,1
its relaxing place,2
he couldn do it should have cost his part,0
lovely,2
sorry,1
dammit,1
it was amazing,2
barbs trying to figure out the dsl aint connecting need my google going home to my computer if it don start working soon smh,0
sick and sad,1
seems really quiet tonight am jealous of those who are clearly having more exciting life than me off to bed think,0
really wishes he had some spare cash to buy the new punch out for wii,1
not going,1
so sorry,1
feel for you hope it smooth flight be safe,2
can sleep,1
sad,1
sweet dreams,2
hay wats ur aim we should chat,0
okay kool might be touring all summer long but we can make it happen,0
pain,1
time to watch op then some dead like me then sleep,0
having dinner with my grandma since couldn be with my mum,0
haha thanks its for history and its on how the invention of television has influence america lol,2
yea so wassup,0
stupid,1
shopped til dropped come bac sunshine miss,1
like,2
thank you ve had anxiety issues,0
around hours left until day weekend and have waaaay too much work to do,0
loved,2
there were attempts to somehow extend inner classes which would be close to closure can find the ref atm,0
yes join us all we require is cupcake donation,0
hard,1
terrible headache and super swollen and puffy eyes dont think im going out today ugh,1
can access your site,0
sun is shinning at last,2
slowest train ever,1
nup no cd either just whole bunch of zeros and ones you can have for free,0
my graduation day and feel like failure,0
ops that lol wasnt supposed to got to twitter,0
don think ve ever been so tierd in my life,1
what are going to do today my girl,0
why doesnt he want me anymore,1
bad hair day,1
headache,1
sorry,1
am just okay okay like the rest of the sane population in the world hate mondays,0
mozart requiem,0
think am bit in love with his creations and wit but not that physically attracted to him although he has great style,0
thanks for another great day,2
huh,1
ohshnapsss is she pissed at blair as usual hahah yeeeah bake cookies,0
no bueno hollykins needs to feel better asap miss you you done with uni soon aren you soproudofyo,0
awesome,2
happy,2
my expression watching this again,0
stupid,1
didn want to tell you but think it your body odour,1
nice beta for easports still no news on the online for madden,0
bad,1
missed,1
unfortunately,1
fun,2
discrimination is not bad thing,2
sure can talk the fabulous part though is out sorry dear,0
tease,1
just got back from working out feeling pretty good,2
ahhh my satz blend didn save,0
so why should that matter bet you would be great at it do it what you love right why not go for it,2
thank the heavens,2
my ear are popping,0
bad,1
no answer back,1
catching up on weeks of lost and grey house is quiet again,0
me smile,2
kinda sick tired,1
boo,1
hey phillll wazzuppppp,0
missed out,1
great,2
finally gone to the beach yeaaaah,2
awesome,2
last weekday of doing nothing school starts next week,0
gorgeous girl,2
hysterical,2
ok have to turn off all of my twitter device updates until get new battery phone goes from fully charged to dead in about hours,0
michelle is hot mama with chichis grande,0
you do rock that much,2
no one know likes boiled peanuts,0
loved,2
ugh these tonsils,1
please get cell phone with better camera on it your pictures are real bad quality compared to those that miley took,0
bless,2
good fun,2
lost,1
though that isn going so well,1
hoooray hooked already,0
good,2
agree everybody would ve been excited and then it goes ohhhh nooooo ms screws up again,0
edge left me off the contributors list in this month issue,0
ooo growl and yummy time coming soon for you too huh oh yeah have been hunting for combo tshirt think can find one no,0
im back to this index problem again,1
so bored at work,1
hating,1
check out and started new tee limited edition in different ways check facebook group too,0
they being the husband or the girl,0
thinking of what should do in vegas any good ideas or places that are most see,0
sucks,1
hi to one kiwi artist from another kiwi artis,0
happy mother day,2
oooo ok why havent you accepted my friends reque,0
sorry,1
no,0
love good causes,2
not available in my area,1
its friday only more hours until free until tomorrow oh well,0
meeting just in time that ii ½m trying to win something prize friday,0
cramps,1
thank you,2
plans didn go as followed but its ok,0
did you do let me guess you skipped sports and bought new pinkish outfit,0
where is the rain please come out,0
my pleasure,0
fml,1
funny,2
grouchy,1
worse,1
don have the app that does it,0
would help me study for the aptitude tests,2
out for supper tonight with kurumi in minutes,0
cute,2
loved,2
hi mariah,0
not at home with my cats right now,0
my inbox is still empty,1
such rebel,1
sorry,1
nice,2
exam today going to get my license renewed the birthday is getting closer,0
love,2
thinks its gonna rain,0
good,2
yrbook signing evryone was fun gna miss evrything,0
lost,1
so not close enough that could run out and get one,0
that was stone cold crazy,1
totally having austin powers withdrawl symptons and darrius withdrawl symptoms and mommy and minne withdrawl syamptoms,0
they were so pretty,2
senior last day,0
no one will help me,1
thanks,2
thanks,2
we re getting closer rather than further from real lobby dates chicago blogher squee,0
has lost his vocie and adele is laughing at me lol and still wondering why in college on me week off,0
oh sorry not getting all my replies nothing against you,1
pray for my uncle,2
gonna scare rachel with quarantine tonight this shall be fun,0
omg wanted to slap her,1
watching the simpsons,0
very special,2
great,2
has work very very soon way too soon,0
phaket what did anneliese want to do,0
mad,1
thanks,2
hungry wife is at bodyshop party and is bringing takeaway home with her how much longer will the party go on,0
such pretty baby,2
invite them to your house instead,0
bit ben thai ed out,0
stackeoverflow,0
cute,2
dead stopped in the express lane this would happen when choose to take it no way out now ugh hopefully this gets moving,0
yay you re on twitter you re my secret celeb crush too much info,0
thank,2
fail at life sometimes,1
wish,2
points at the gear question just posted cant get the rest of my dreadweave set,0
you remind me so much of omaha girl that use to date guess it all in the jeans calvin kleins is what she wore,0
he gives twitter tips hope this helps,2
loved him,2
lol than,2
gorgeous,2
guess the relaxing dinner and movie is out for tonight was looking forward to that after my day at work,2
my laptop grew speakers now can watch charlie with the sound on,0
rofl uh huh,2
funny,2
doesn that look fab,1
deadlines,0
terrible,1
irrelevant,1
too sick to go outside,1
good,2
excited,2
we won be home till like next month,0
love,2
bad,1
screwed,1
just got laid off lots of people becoming unemployed,1
bestttt,2
easties you can go there anytime,0
like,2
lemme guess you ran miles at the gym and are waking your kids up and then going to the beach and or recording studio,0
never knew dentention was so hard,1
fun,2
my nail broke haaaaaaaaate,1
is disappointing,1
yep,0
love,2
hope avalina isn dud,1
anyone want to buy me this anthropomorphic planter only available till the st,0
it beautiful day outside today shame stuck in the office with the blinds shut to stop glare,0
woke up and there was sun and then it started to rain,0
and the creative vado are out of stock at walmart com missed it but thanks for tweeting about,0
hates,1
lovely,2
flap taco was nice until the plebs came in,1
celebrate,2
am chillaxin after busy bankholiday hope everbody had gd wkend holiday in days,2
better,2
wow you ride hard,2
check out the flyer designed for the notary and retrograde let me know what you think,0
thanks welcome back,2
sucks,1
sore head,1
at the office trying to solve the mystery of whose blood is that in the bathroom toilet eewwwww,0
aw love him his car was soooo cute tonight love me some carl my yr old is sad now lol,0
bryan hasn replied about wingnuts,0
watching southpark for another minutes,0
amazi,2
lmao ha,2
stupid,1
tried on all the shoes in new look,0
its too early wanna go back to sleeep,0
don think am my sisters refusn to get me ticket now,1
oh wow hope he ok take him the vet,0
he died wait what about magic jack just read it,0
ve just woken up,0
love,2
one of the greatest dinners ever,2
nooooo its raining,1
shower class more class taking care of my lady friend,2
great,2
great,2
goodmorning twitter oh my gosh woke up soooo nice lol oh hai thar twitterverse happy mothersday everybody,2
loved,2
hubby went to pick up my fringe comics today store by his work that store was out of business too no comix in houston have web,0
the world is just amazing,2
am completely lost,1
gadgetopia need to dm you but you re not following me will send email,0
cute,2
got my cable set up win got my lock put on my door win feeling tad neglected fail,0
silly,1
just had great talk with grace about how awesome god is and how he works that somehow started with how remote controls work,2
beasted,1
ll be listening,0
oh no don have to hit him up he had family emergency so there was lil delay just can wait to see them,0
sitting at home doing nothing gonna be like this all weekend,0
unsalvageable,1
flew brisbane lax today great flight love the lights shame about one drink limit thoug,0
think should go to sleep considering hav to up on hrs,0
if told you how often wash my hair you would never speak to me again,0
ended up inventing my own,1
seems to have disappeared out of my life,1
happy mother day to my mom and every mom everywhere off for stroll at the beaches later hopefully,2
ohhh wanna go gahhh but dunnooooooo me confuzzzledd should or not,0
haha,2
best,2
,1
aww,1
nothing fair,1
am going to see how long can do this for,0
you better come here by the time count to or else bam,2
prd take long time to review,0
well,2
going to fail this final,1
thx,2
how sad are you saying that fat tears,1
why thank you might just take you up on your offer,0
can find it anywhere,1
have major headache,1
ch fu,2
mitchel you have no idea how much want to call you but it costs loads to call from england,0
stupid me,1
very relaxing,2
yessir that is right,2
night,0
great,2
sad,1
too warm,0
ada acara menarik lain keys to the vip di channel ttg straight yg dikasih tasks to approach strangers in the crowd hmm,0
well hit me and we can see it depends then,0
thanx,2
very cute,2
good,2
shower time,0
coooooooool dooooooooown patience is virtue,2
gotta drop off some car parts for buddy to press out then to the dentist,0
cant call im at work,0
expensive,1
so tired,1
happy,2
am on here finally and yay seriously that made my day oh fellow hell ruler,0
goodnight,2
doesnt have hangover and is getting ready for good ol english fry up,0
waiting to put my story about stereo skyline up don know where to put it boooo,0
working now,0
just at starbucks with farrah,0
ginniejean there lot of mojo all over the place yes,0
third date went well moving on to fourth,0
mad tired but it the hols miss chomp chomp terribly,1
is finally starting her assignments,0
good,2
good,2
glad,2
missing,1
it just had to rain on me,1
yeah we only went for days im trying to get back in november with my mom for super soak stars weekend,0
miss guys too prob won bk til august sumtime,2
okay make sure he alright kk cuidalo let him know he got friend in us aha,0
it will if do it in round about way ahve to copy the public contacts into my personal contacts first no big deal,0
trying to figure it out,0
ll update you had to leave him at the vet for tests and xrays,0
went to see hannah montana movie on saturday loved it still cant work twitter out though,0
victim,1
would slip and fall,1
looking forward to it,2
well paisley has one of those cone things around her head so funny but feel bad for her,0
stop,1
can wait to november for jobros concert,2
been there done that it always ended up with me selling the machine and going back to my mac,0
but feel sorry for marcus though,1
is sitting thru the boring bits in titanic waiting for the good bit to start in couple of hours,0
fire and urban at rock challenge,0
can believe,1
sorry ba,1
well now do,0
crazzyyyy but just this summer cuz ci are very close to rd,0
jus love doin night shifts,2
morning tweeple way to early again,0
reupload the thing again,1
your updates are really amusing,2
loves the fact,2
not bad,2
awesome,2
rough,1
aww congrats to the family,2
yay,2
can,0
strongly agrees with jason about wolverine but not about hugh jackman sorry no kids for this mouse,0
you okay bby,0
goodnight,2
im too late hes gone,1
lost my internet signal,1
sorry,1
good for you mate sadly couldnt get pissed tonight driving bad times,2
blood everywhere,1
pulled up walmart aunt got out went in fell asleep hours later were you lol,0
searching my home for few things to cook them for dinner this evening it mothers day so guess who im eating with,0
very very cute,2
woke up at then fell back to sleep woke up at and back to sleep again woke up at and staying awake morning,0
great,2
hurt my arm,1
,1
tiiiiiiired going to bed,1
just been in that kind of mood not reason at all lol but ll try not to be too mushy around you can behave,0
hope,2
keeps getting such delayed responses why is my internet so messed up,1
and dont tell burnsy but no comparison between the rocky mountains and mountains in enlgland,0
sad,1
good,2
could get away with it dare me ll go buy it tomorrow,0
thanks man that sorted it,2
enjoying,2
favourite,2
ok back to packing have been sitting in car charging phone as charger was left home as well,0
congratulatory,2
sadly that not too often,1
good times,2
the sun is not cool,1
that was meeeaaannn,1
invisible car helps to boost recycling honest,2
baby baby it gonna be all right when by your side and the whole world turns against you it when my ipod randoms bsb songs,0
pretty,2
really love that,2
so sadly,1
you are kickable,0
also saw on american idol great performance see will be at windsor in june commodores won be there,0
nice,2
happy,2
just finished watching marley and me,0
enjoying,2
everyone seems to love it but it felt kinda lazy and repetative to me was really disappointed,0
roll on thursday,0
dadgum think this nations shipping needs have shut down completely still no freight for carriers out there,0
cavs got lucky night lol but lebron took over and killed em another triple double,0
happy,2
my bad,1
forgot,1
as long as you have someone to make out with,0
thanxx,2
you arent following me so cant send you dm,0
poorly,1
happy st,2
picked up taco over lunch you got guitar,0
won have chance later,1
up is all sold out,0
hope,2
whoaa kinda hard that one that you think will be interesting enough to tell,0
you re the best,2
listening music home all alone lol who wants come over hang with me lol,0
shut your face,1
or so month put my week notice in little over week ago my last day is this friday,0
oh yea mspacers my boy just hooked up my page it looks kewl at least think so and it only took him minutes,0
cant wait,2
laavly,2
yes please and if you re gone might actually get some work done lol,0
really getting sick ugh,1
stalkerishly,1
youtube,0
calling mum too ask if she can by ice cream,0
having very lazy day playing xbox and drinking tea,0
disappointing,1
hopefully,2
my mom just texted me and told me that rodney was chasing fireflies in their backyard awwwww miss,0
happy,2
thanks,2
my legs are killing me now but know it good pain all in all,0
fun,2
wish could go too,2
ready to go home,0
need to push diet to last level not too good last week lost lb better than gain,0
excited,2
my back is killing me it won keep me from dropping it low hope got someone to pick it back up tho lol,0
,1
mad the rain got me,1
am at my grandparents place,0
hi from chile it deg winter coming cant wait for cali sun,0
dont feel very good,1
was born there,0
congradts on ur show even tho wasnt there lol,2
damjust finished watching prison break the final break omg dont think ve cried so hard for show finally understand the finale,2
excuse,1
so glad it is friday two classes then lazy afternoon too bad it isnt nice and warm out today,0
good,2
awesome,2
afraid,1
not having the best day,1
goodnight,0
welcome,2
thanks,2
thanks,2
feeling all homely off out with freddie for fun packed day,2
haha will remember that,0
will do hee after exams ll give plenty of shows haha hopeless me,0
sorry,2
awww it does remind me of getting ready for the ball,0
just couldn remember,1
sez need to get to look at my flights again will email ur work tonite,0
wish had the battery life of an iphone,2
happy,2
omg,2
better,2
work in that heat is horrible,1
turned me human,2
glad,2
yep the hawkesbury classic starts at windsor home of said dj,0
thanks savvv,2
my sleep pattern is screwed,2
isn easy to find,1
may the fourth be with you happy star wars day,2
just not lucky never have been,1
taking care of yucky stuff,1
lame,1
good,2
cry,1
happy,2
at the redi med getting checked for strep throat,0
either always on the train or at work,0
hope,2
tired,1
that me on good day,2
not good,1
admire you you re amazing you inspire me to write,2
love being off work,2
hahaha was busy now see what replied to you,2
thank you,2
very bad,1
he not logging in yet and doubt if he will check his his replies here in twitter but we must keep on trying,0
very content with my life at the moment,0
thanks feel lot better now but it hurt like hell good luck with the lousy student writing,0
thank you,2
pretty much figured out,2
scared,1
esther rhymes with investor tester jester pester polyester semester sylvester requester just to name few,0
happy mother day to you lexus hopw it nice one for you,2
last night in australia,0
was an extra got ready for work for nothing studying all night,0
love,2
fave,2
it mothers day today,0
thanks,2
yay congrats afraid to check my grades,0
bad,1
same difference today going to go and have shower then get ready,0
bash,0
its prob cuz don really like sleeping in late even if tried,1
congrats,2
still stick,1
guess your cooler than me tony hawk never replied to me,0
wishing could kidnap from work,0
ut yes now would be good,2
ran out of eclipse mints,0
tweeten maar,0
lost,1
need some more enthu movie guys for that right now it just you and,0
,1
no have to go on cruches next weeks,0
my throat is killing me,1
im back on twitter,0
looked up weather for greece this weekend and sunny omgz,0
awww ll let you off but you better be there for my next th xd,2
yoyo door nazis refused me entry on account of no id gutted heard it was good night tho next time ll come prepared,0
